Part (Strand),Chapter (Substrand),Section,Core/Essential,Section Assigned to:,Section Status,Content summary,Key Takeaways,Learner Experience Assigned to:,Suggested Learning Experience,Example / Exercise Ideas,Animation?,LO 1,LO 2,LO 3,LO 4,PTX File,Open Source Resource 1,Open Source ID 1,Open Source Title 1,Open Source Resource 2,Open Source ID 2,Open Source Title 2,Open Source Resource 3,Open Source ID 3,Open Source Title 3,Open Source Resource 4,Open Source ID 4,Open Source Title 4,Activity Done,Key Takeaway Done,Theory Done,Examples Done,STACK Done,Exercises Done,Lesson Guidance Done,Order
Measurement and Geometry,Trigonometry II,Solving Trigonometric Equations I,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","-Illustrate using examples how to solve trigonometric equations involving trigonometric ratios across the range 0 to 360 degrees
- e.g. sin(theta) = 1/2, cos (theta) = 0.8",,Ben,"Opening question: sin x = 1/2. How many solutions do we think there will be for x? Solve via measurement on the unit circle, give a height, ask to find which angle(s!) will give that",,,Solve trigonometric equations involving trigonometric ratios across the range 0 to 360 degrees,,,,,PRECALC,m49398,Solving Trigonometric Equations,,,,,,,,,,0,0,0,0,0,0,0,83
Measurement and Geometry,Trigonometry II,Solving Trigonometric Equations II,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Harder trig equations like sin(theta) = cos(theta), tan(theta/2) = 1/2 etc.",,Ben,Group activities discussing solve tan x = sqrt(3) for 0 < x < 720,"If A, B, and C are angles of a triangle, are these identies or equations?
- sin(π/2−A)=cosA
- sec^2(A)−tan^2(A)=1
- tan(A+B)=−tanC
- sin^2(A)−cos^2(B)=1
- sin(π−A)=sin(B)
- sin^2(A)−3cos(A)=cosec^2(C)−cot^2(C_",,Solve trigonometric equations involving trigonometric ratios across the range 0 to 360 degrees,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,84
Measurement and Geometry,Trigonometry II,Radians,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Introduce the Conversion Formulas: To convert Degrees to Radians: Multiply by pi/180.To convert Radians to Degrees: Multiply by 180/pi.
- Illustrate how to apply this formula using examples.
",,Ben,"Use string to draw a circle, then place one end of string on the circumference, see how far it can go, measure the angle. How many uses of the string would you need to cover the circumference",,,Convert angles from degrees to radians and vice versa in different situations,,,,,PRECALC,fs-id1165137502647,Converting Between Degrees and Radians,,,,,,,,,,0,0,0,0,0,0,0,85
Measurement and Geometry,Trigonometry II,Graphing Sine and Cosine,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Demonstrate how to generate tables of values to use in plotting the graphs, and step by step on how to draw the graphs.
- Identify amplitude, period or/and intercepts.",,Ben,"- Create a table of points for sine and cosines (e.g. at 30 degrees, 45 degrees, 60 degrees), draw a curve to fit",,To Do,Draw graphs of trigonometric functions in degrees and radians,,,,,PRECALC,fs-id1165135169322,Graphs of the Sine and Cosine Functions,,,,,,,,,,0,0,0,0,0,0,0,86
Measurement and Geometry,Trigonometry II,Graphing Tangent,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Show how to Graph tangent, asymptotes",,Ben,"- Table of points, create graph",,,Draw graphs of trigonometric functions in degrees and radians,,,,,PRECALC,fs-id1321556,Analyzing the Graph of y = tan x,,,,,,,,,,0,0,0,0,0,0,0,87
Measurement and Geometry,Trigonometry II,Sine Rule,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Using a right-angled triangle, illustrate the sides A,B and C, and their opposite angles.
- Explain how to derive the Sine Rule using triangles
- Advanced - sine rule with two answers for theta",,Ben,"- Draw triangles, calculate ratios of (sin A)/a etc",,,Derive sine and cosine rules using triangles,,,,,PRECALC,fs-id1165137629477,Using the Law of Sines to Solve Oblique Triangles,PRECALC,fs-id1165135199352,Using The Law of Sines to Solve SSA Triangles,,,,,,,0,0,0,0,0,0,0,88
Measurement and Geometry,Trigonometry II,Cosine Rule,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",- Cosine rule c^2 = a^2 + b^2 - 2ab cosC,,Ben,"Right angled triangle, c^2 = a^2+b^2, ask what happens as b pivots to the right and the left while remaining the same size",,,Solve triangles using the sine and cosine rule,,,,,PRECALC,fs-id1165135190782,Using the Law of Cosines to Solve Oblique Triangles,,,,,,,,,,0,0,0,0,0,0,0,89
Measurement and Geometry,Trigonometry II,Trigonometry in Real Life,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Highlight the applications of trigonometry in real life situationse.g in Surveying and Civil Engineering, architecture and construction etc",,Ben,Do a demonstration with the roof at the school,,,Appreciate the use of trigonometry in real life situations,,,,,PRECALC,fs-id1165135381204,Solving Applied Problems Using the Law of Sines,PRECALC,fs-id1165133215477,Solving Applied Problems Using the Law of Cosines,,,,,,,0,0,0,0,0,0,0,90
Measurement and Geometry,Graphical Methods,Graphing Circles,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Define a circle using its center (h, k) and radius r, and mastering the standard equation:(x - h)^2 + (y - k)^2 = r^2
- Use examples to highlight the same.",,Kelvin,,,To Do,"Determine the centre, radius and equation of a circle in different situations",Draw graphs of circles and parabolas in different situations,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,91
Measurement and Geometry,Graphical Methods,Graphing Quadratics,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Illustrate plotting curves for y = ax^2 + bx + c
-- Concave up vs concave down (a is +ve or -ve), line of symmetry -b/2a, roots either side",,Kelvin,"People graphs: have someone hold their arms up like (concave up) quadratic, have someone represent a linear graph (y = x, y = -x), someone represent a concave down quadratic",,,Solve quadratic and cubic equations graphically,Draw graphs of circles and parabolas in different situations,,,,PRECALC,fs-id1165137641326,Understanding How the Graphs of Parabolas are Related to Their Quadratic Functions,ORCCA,section-key-features-of-quadratic-graphs,Key Features of Quadratic Graphs,ORCCA,section-graphing-quadratic-expressions,Graphing Quadratic Expressions,,,,1,1,1,1,0,1,0,92
Measurement and Geometry,Graphical Methods,Roots of Quadratic and Cubic Equations,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Key focus is visualizing the solutions to equations by identifying where a curve meets the x-axis.
- Illustrate plotting curves for y = ax^2 + bx + c and x = ax^3 + bx^2 + cx + d.
-",,Kelvin,,,To Do,Solve quadratic and cubic equations graphically,,,,,PRECALC,fs-id1165135693703,Finding the x- and y-Intercepts of a Quadratic Function,,,,,,,,,,1,1,1,1,0,1,0,93
Measurement and Geometry,Graphical Methods,Solving Simultaneous Equations Graphically,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Illustrate how to solve a linear equation (straight line) and a non-linear equation (parabola or cubic), using examples.
-  Accurately plotting both functions on the same grid and identifying the coordinates (x, y) of their intersection points.",,Kelvin,"- Connect to learning experience for Simultaneous Linear and Quadratic Equations (1.6.1), draw graphs, find intersections",,,Solve simultaneous equations of a linear and a quadratic and cubic equations graphically,,,,,PRECALC,fs-id1165134573832,Solving Systems of Equations by Graphing,,,,,,,,,,1,1,1,1,0,1,0,94
Measurement and Geometry,Graphical Methods,Average Rate of Change,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Demonstrate how to calculate the gradient of a curve at a single point versus between two points.
- Illustrate how to draw a tangent to the curve and calculating its gradient.
- Illustrate how to find the slope of the secant line.",,Kelvin,,,,Determine average rate of change and average rate of change at an instant from a graph,,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,95
Measurement and Geometry,Graphical Methods,Instantaneous Rate of Change,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Introduction to drawing tangents, precursor to differentiation content",,Kelvin,,,,Determine average rate of change and average rate of change at an instant from a graph,,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,96
Measurement and Geometry,Graphical Methods,Graphing Empirical Data,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Show graphs of empirical data, ask analysis question",,Kelvin,,,,Draw graphs of empirical data and line of best fit in different situations,,,,,PRECALC,fs-id1165137557592,Drawing and Interpreting Scatter Plots,,,,,,,,,,1,1,1,1,0,1,0,97
Measurement and Geometry,Graphical Methods,Line of Best Fit,Core,Sheila,"STACK Missing, Lesson Guidance Missing","- Illustrate how to plot experimental data points and drawing the best line of fit.
",,Kelvin,,,,Draw graphs of empirical data and line of best fit in different situations,,,,,PRECALC,fs-id1165135623674,Finding the Line of Best Fit,,,,,,,,,,1,1,1,1,0,1,0,98
Measurement and Geometry,Graphical Methods,Converting Non-Linear Equations into a Linear Form,Core,Sheila,"Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",- Demonstrate Using logarithms or algebraic manipulation to turn nonlinear equations (like y = ax^n) into a straight-line form (Y = mX + c).,,Kelvin,,,,Convert nonlinear equation to linear form in different situations,,,,,PRECALC,fs-id1137429,Building a Logarithmic Model from Data,PRECALC,fs-id1165134129918,Solving a System of Nonlinear Equations Using Substitution,,,,,,,1,1,1,0,0,0,0,99
Measurement and Geometry,Graphical Methods,Determining Constants in Nonlinear Equations,Core,Sheila,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",- Demonstrate using the gradient (m) and y-intercept (c) of the new linear graph to find the original unknown constants (a and n).,,Kelvin,,,,Determine constants in nonlinear equations in different situations,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,100
Measurement and Geometry,Graphical Methods,Graphical Methods in Real Life,Core,Sheila,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Highligt real life applications like i: Telecommunications( Signal Coverage), sports science, and engineering.",,Kelvin,,,,Promote the use of graphical solutions to day to day life,,,,,PRECALC,fs-id1165137558753,Real-World Applications,,,,,,,,,,0,0,0,0,0,0,0,101
Statistics and Probability,Permutations and Combinations,Factorials,Core,Diera,"Activity Missing, STACK Missing, Lesson Guidance Missing","- Brief introdiction on what is a factorial notation
- using factorial notation by expressing it as a product of decreasing integers. eg 4!=4×3×2×1=24
- Simplifying factorial expressions eg  6! / 4!
",,Kelvin,"3 students and line, how many ways",,,Express a natural number in factorial notation,,,,,PRECALC,fs-id1165137593595,Using Factorial Notation,,,,,,,,,,0,1,1,1,0,1,0,102
Statistics and Probability,Permutations and Combinations,Permutations I,Core,Diera,"Activity Missing, Key Takeaway Missing, Theory Missing, STACK Missing, Lesson Guidance Missing","- Brief introdiction, queueing, picking people for captain and vice captain
- simplifying of permutations  by multipliying ,dividing and subtracting of factorials eg 
5! /(5 - 3)!, formula for nPr",,Kelvin,4 students 2 chairs,,,Perform permutations involving real life situations,,,,,PRECALC,fs-id1165137553058,Finding the Number of Permutations of n Distinct Objects,,,,,,,,,,0,0,0,1,0,1,0,103
Statistics and Probability,Permutations and Combinations,Permutations II,Core,Diera,"Activity Missing, STACK Missing, Lesson Guidance Missing","- Harder questions with duplicates - e.g. 5 red balls, 3 blue, arrange in line. ",,Kelvin,"In how many ways can we order the word ZOO, BOOK
 ",,,Perform permutations involving real life situations,,,,,PRECALC,fs-id1165137553058,Finding the Number of Permutations of n Distinct Objects,,,,,,,,,,0,1,1,1,0,1,0,104
Statistics and Probability,Permutations and Combinations,Permutations in Real Life,Core,Diera,"Activity Missing, STACK Missing, Lesson Guidance Missing",Solving real life  situations using permutation eg arranging books in a shelf.,,Kelvin,Captain and vice-captain from a team of 11 ,,,Apply permutations and combinations to real life situations,Explore the use of permutations and combinations in real life situations,,,,PRECALC,fs-id1165135526953,Real-World Applications,,,,,,,,,,0,1,1,1,0,1,0,105
Statistics and Probability,Permutations and Combinations,Combinations,Core,Diera,"Activity Missing, STACK Missing, Lesson Guidance Missing","Picking people for a team, introduction to nCr notation, relation to permutations.",,Kelvin,select 5 from 8 to represent in a debate,,,Perform combinations involving real life situations,,,,,PRECALC,fs-id1165137648225,Find the Number of Combinations Using the Formula,,,,,,,,,,0,1,1,1,0,1,0,106
Statistics and Probability,Permutations and Combinations,Combinations in Real Life,Core,Diera,"STACK Missing, Lesson Guidance Missing, Activity Missing","Solving real life  situations using combinations.

If 10 points are spaced evenly around the
circumference of a circle, and every point is joined
to every other point with a straight line, how many
pieces is the circle divided into? See https://www.foster77.co.uk/1.19%20Sequences.pdf",,Kelvin, eg a pizza shop offers 10 toppings.you are allowed to choose 3.how many different pizzas can you make?,,,Apply permutations and combinations to real life situations,Explore the use of permutations and combinations in real life situations,,,,,,,,,,,,,,,,0,1,1,1,0,1,0,107
Statistics and Probability,Probability II,Theoretical Probability,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Combining combinatorics to probability eg A bag contains 5 Red marbles and 3 Blue marbles. If you pick 2 marbles at random, what is the theoretical probability that both are Red?
- defining of sample space
- Recap of Grade 10
",,Kelvin," bag contains 5 Red marbles and 3 Blue marbles. If you pick 2 marbles at random, what is the theoretical probability that both are Red?",,,Determine theoretical probability in different situations,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,108
Statistics and Probability,Probability II,Discrete Probability,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Use of  Bar Graphs, rolling a die, fixed outcome",,Kelvin,"Tossing a coin, rolling a die",,,Determine discrete and continuous probabilities in different situations,,,,,STAT,randvarnot,Random Variable Notation,STAT,m79621,Probability Distribution Function (PDF) for a Discrete Random Variable,,,,,,,0,0,0,0,0,0,0,109
Statistics and Probability,Probability II,Continuous Probability I,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- - Uniform continuous distribution
- Picking a random number between 0 and 1
",,Kelvin,"- Matatu waiting time uniform between 0 and 30 minutes
- Uniform chance of rain between 2pm and 5pm",,,Determine discrete and continuous probabilities in different situations,,,,,STAT,m79632,Continuous Probability Functions,,,,,,,,,,0,0,0,0,0,0,0,110
Statistics and Probability,Probability II,Continuous Probability II,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Harder continuous probabilities,  bell curves, areas covered etc.
- Tie into areas to get probabilities
- Exponential decay, water evaporate",,Kelvin,"- A chicken is wandering randomly around a 10 m × 10 m square enclosure. It is just as likely to be at
any one place in the enclosure as any other. A circle 5 metres in radius has been inscribed in the square. what is the probability that the chicken is inside the circle?",,,Determine discrete and continuous probabilities in different situations,,,,,STAT,m79633,The Uniform Distribution,,,,,,,,,,0,0,0,0,0,0,0,111
Statistics and Probability,Probability II,Mutually Exclusive and Independent Events ,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",Recap of Grade 10,,Kelvin,- Copy from grade 10,,,Determine probability of mutually exclusive and independent events,,,,,PRECALC,fs-id1116713,Computing the Probability of Mutually Exclusive Events,,,,,,,,,,0,0,0,0,0,0,0,112
Statistics and Probability,Probability II,Laws of Probability,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Include all the laws of probability.
- additional law
- multiplication law
-The Law of Complementary Events
- Paste from grade 10",,Kelvin,"- Roll a die, probability even or prime, probability even and prime",,,Apply laws of probability to predict likelihood of events, ,,,,STAT,m79614,Two Basic Rules of Probability,,,,,,,,,,0,0,0,0,0,0,0,113
Statistics and Probability,Probability II,Tree Diagrams,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",Calculating probability using tree diagram,,Kelvin,"- 3 socks, pick a left sock and a right sock, probability of matching",,,Calculate probabilities using tree diagrams,,,,,STAT,fs-idp113760352,Tree Diagrams,,,,,,,,,,0,0,0,0,0,0,0,114
Statistics and Probability,Probability II,Probability in Real Life,Core,Monica,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Give scenarios of probability use in real life eg
- If both parents carry a recessive gene for a trait, what is the probability the child will express it?
- experimental probability in weather forecasting",,Kelvin,,,,Appreciate the application of probability in day-to-day life,,,,,STAT,m79628,Discrete Distribution (Playing Card Experiment),,,,,,,,,,0,0,0,0,0,0,0,115
Calculus,Functions,Types of Relations,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","One-to-One, Many-to-One, One-to-Many, Many-To-Many, and the Horizontal + Vertical Line Test.",,Kelvin,"Examples: one-to-one, marriage
one-to-many, mother-to-kids
 many-to-one, siblings-to-father
many-to-many: kids-to-gtandparents",,,Identify relations and the different types of mappings,,,,,PRECALC,fs-id1165133394710,Determining Whether a Relation Represents a Function,ORCCA,section-technical-definition-of-a-function,Technical Definition of a Function,,,,,,,0,0,0,0,0,0,0,116
Calculus,Functions,Function Notation,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","The Name and the Input: Explain that f is the name, and (x) is the placeholder for the input.. Plugging in a specific value for the input variable to find the corresponding output. eg The Input-Output Process: If we have f(x) = 3x^2 - 5, then f(4) asks us to replace every x with 4.",,Kelvin,Assigning prices to foods.,,,Compute the value of a function in different situations,,,,,PRECALC,fs-id1165134474160,Using Function Notation,ORCCA,section-function-basics,Function Basics,,,,,,,0,0,0,0,0,0,0,117
Calculus,Functions,Domain,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","The Conceptual Definition
- Domain: Every x-value that is legal to plug into the function.
- Finding Domain Algebraically (The Two Red Flags) Division by Zero: In rational functions, the denominator cannot be 0.Square Roots of Negatives: (If you are working with Real numbers).",,Kelvin,"Continuing with shop example. Design a shop with 6 items, assign a price. Ask students about prices of goods not in the shop",,,Define the range and domain of functions,,,,,PRECALC,m49304,Domain and Range,ORCCA,3l8UoHPM,Domain,,,,,,,0,0,0,0,0,0,0,118
Calculus,Functions,Range,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Range: Every y-value that actually comes out of the function.
- Finding Range Graphically eg the ""Shadow Method"":If you shine a light from the side, what part of the y-axis does the graph cast a shadow on?
- range of parabolas, trig functions",,Kelvin,You are in a shop with 10 items. Does anything cost 200 Ksh,,,Define the range and domain of functions,,,,,PRECALC,m49304,Domain and Range,ORCCA,d18TrYb0,Range,,,,,,,0,0,0,0,0,0,0,119
Calculus,Functions,Types of Functions,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- Linear Functions: f(x) = mx + c. Straight lines, constant rate of change.
- Quadratic Functions: f(x) = ax^2 + bx + c. Parabolas; they have a turning point (vertex).
- Polynomials functions
- trigonometry functions
- One to many and one to one functions",,Kelvin,,,,Identify functions and their properties,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,120
Calculus,Functions,Even and Odd Functions,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","- f(x) = f(-x) for even, f(x) = -f(-x) for odd, show visually what this means, 
- even = reflection across y axis, odd = reflection across y = -x",,Kelvin,Show with graphs,,To Do,Identify functions and their properties,,,,,PRECALC,fs-id1165134069294,Identifying Polynomial Functions,PRECALC,m49351,"Direct Substitution: Evaluating a function at a point.Trend Analysis: Understanding the ""limit"" as x =c. Introduce limit notation. ",,,,,,,0,0,0,0,0,0,0,121
Calculus,Functions,Limits of Polynomials,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Direct Substitution: Evaluating a function at a point.Trend Analysis: Understanding the ""limit"" as x =c. Introduce limit notation",,Kelvin,,,,Evaluate limits of polynomial functions in different situations,,,,,PRECALC,fs-id1165137605562,Finding the Limit of a Polynomial,,,,,,,,,,0,0,0,0,0,0,0,122
Calculus,Functions,Inverse of Polynomials,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Explore the symmetry between a function and its inverse, specifically how they reflect across the line y = x: * Solving for x to find f^{-1}(x).Restricting domains to ensure a function is one-to-one.

- Relate inverse of numbers to inverse of functions",,Kelvin,"Have cards with input and output (e.g. to a quadratic), ask what input would lie behind a given output. ",,To Do,Determine the inverse of a function of polynomials and trigonometric ratios,,,,,PRECALC,m49320,Inverse Functions,,,,,,,,,,0,0,0,0,0,0,0,123
Calculus,Functions,Trignometric Functions,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Trig functions. Sine with input and output, look at domain and range etc",,Kelvin,,,,Determine the inverse of a function of polynomials and trigonometric ratios,,,,,PRECALC,m49320,Inverse Functions,,,,,,,,,,0,0,0,0,0,0,0,124
Calculus,Functions,Inverse of Trigonometric Functions,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",Careful with domain of inverse trigonometric functions,,Kelvin,"Give right angled triangles with (e.g.) side lengths 1 and 1, 3 and 4 etc. measure angles using a protractor. ",Calculate distance between Nairobi and Lagos using great circle https://amsi.org.au/ESA_Senior_Years/SeniorTopic8/8_md/SeniorTopic8b.html#extension_2,,Determine the inverse of a function of polynomials and trigonometric ratios,,,,,PRECALC,m49320,Inverse Functions,,,,,,,,,,0,0,0,0,0,0,0,125
Calculus,Functions,Functions in real life,Core,Murunga,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Applying functions to time, money, and physics.",,Kelvin,Car with speed as a function of time,,,Appreciate the use of functions in real life situations,Apply functions to real life situations,,,,PRECALC,fs-id1165137592239,Real-World Applications,,,,,,,,,,0,0,0,0,0,0,0,126
Calculus,Differentiation I,Average Rates of Change,Core,Ben,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",Recap from Graphing Methods,,Ben,,,,Compute average and instantaneous rates of change in different situations,,,,,PRECALC,fs-id1165137634037,Finding the Average Rate of Change of a Function,PRECALC,fs-id1165137602891,Understanding the Instantaneous Rate of Change,,,,,,,0,0,0,0,0,0,0,127
Calculus,Differentiation I,Finding the Derivative Graphically,Core,Ben,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Recap from Graphing Methods for instantaneous rate of change, draw tangent line, measure its slope",,Ben,"Draw y = x^2, calculate the slope the tangent at each point",,To Do,Compute average and instantaneous rates of change in different situations,,,,,PRECALC,fs-id1165137634037,Finding the Average Rate of Change of a Function,PRECALC,fs-id1165137602891,Understanding the Instantaneous Rate of Change,,,,,,,0,0,0,0,0,0,0,128
Calculus,Differentiation I,Derivatives of Lines,Core,Ben,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","y = mx + c, apply the derivative definition, see that dy/dx = m",,Ben,,,,Calculate the gradient at a curve at point,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,129
Calculus,Differentiation I,Derivatives from First Principles,Core,Ben,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Understand the limit definition of a derivative: dy/dx = lim h -> 0 (f(x+h) - f(x))/h
- Introduce dy/dx notation
",,Ben,"Car is driving past, we have a speed detector. How can we know how fast they are going right now?","Here are some suggestions of how we could define a tangent to a curve at a point.

“A tangent is a straight line which only meets the curve at that one point.”
“A tangent is a straight line which touches the curve at that point only.”
“A tangent is a straight line which meets the curve at that point, but the curve is all on one side of the line.”
“A tangent is a straight line which meets the curve at that point, but near that point, the curve is all on one side of the line.”
Which, if any, of these proposed definitions works for a circle?",To Do Priority,Determine the derivatives of polynomial functions,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,130
Calculus,Differentiation I,Power Rule,Core,Ben,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","y = x^n, show that y = n x^(n-1)",,Ben,"Show square (x*x), ask how the area will change if we add a small bit of x. (xdx + xdx + dx^2 ~= 2xdx) Same with x^3.",,To Do Priority,Calculate the gradient at a curve at point,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,131
Calculus,Differentiation I,Derivatives of Polynomials,Core,Ben,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","derivative of e.g. y = 4x^4 + 3x^2, show that (f+g)' = f' + g' (derivatives add) and that (af)' = a*f' (scalar multiplication)",,Ben,"Add two graphs vertically, ask what would happen to their slope. Maybe plot y = x^2 graph paper, add y = x, ask to compute the slope.",,,Calculate the gradient at a curve at point,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,132
Calculus,Differentiation I,Equations of Gradients,Core,Ben,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing",The Gradient (m): Found by evaluating the derivative at point x_1. Plug into y - y1 = m(x-x1),,Ben,"Exploration of y = 1/x, area from tangent to y-axis and x-axis always constant.",,,Determine the equations of tangents and normal to a curve,,,,,PRECALC,fs-id1165135645114,Finding an Equation of a Line Tangent to the Graph of a Function,,,,,,,,,,0,0,0,0,0,0,0,133
Calculus,Differentiation I,Equations of Normals,Core,Ben,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","normal has gradient -1/f'(x), plug into y - y1 = m(x-x1)",,Ben,"Demonstration with a parabolic mirror y = x^2, get children to draw how they think light will reflect across the mirror. Show vertical light will all reflect towards the focus at (0, 0.25). [Or make this about balls hitting a surface]",,,Determine the equations of tangents and normal to a curve,,,,,PRECALC,fs-id1165135645114,Finding an Equation of a Line Tangent to the Graph of a Function,,,,,,,,,,0,0,0,0,0,0,0,134
Calculus,Differentiation I,Application of Derivatives to Kinematics,Core,Ben,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Explain how we move between Displacement (s), Velocity (v), and Acceleration (a) using derivatives.",,Ben,"Give displacement-time graph (e.g. y = -5t^2 + 10t + 2), ask what the velocity-time graph should look like (when should v = 0). What about the acceleration (mention that this represents an object through)",,,Apply derivatives to kinematics in different situations,,,,,PRECALC,fs-id1165134075444,Finding the Instantaneous Speed of a Particle,,,,,,,,,,0,0,0,0,0,0,0,135
